coin,block,etc,eth,etc_pct,eth_pct,date
ETC,8330001,117219001.58482797,110493841.80524573,54.58828703874868,16.208495028687935,2019-07-01
ETC,8370001,117399001.58482797,110525379.93587525,54.672112114326254,16.213121400847424,2019-07-01
ETC,8410001,117579001.58482797,110556927.06839746,54.75593718990381,16.21774909350705,2019-07-01
ETC,8450001,117759001.58482797,110588483.20538141,54.839762265481376,16.22237810704366,2019-08-01
ETC,8500001,117984001.58482797,110627941.04305147,54.944543609953335,16.22816623202211,2019-08-01
ETC,8540001,118164001.58482797,110659517.44947292,55.02836868553089,16.23279821891065,2019-08-01
ETC,8580001,118344001.58482797,110691102.86871184,55.112193761108465,16.23743152790189,2019-08-01
ETC,8620001,118524001.58482797,110722697.30334078,55.19601883668602,16.242066159373206,2019-09-01
ETC,8660001,118704001.58482797,110754300.75593294,55.279843912263594,16.246702113702067,2019-09-01
ETC,8700001,118884001.58482797,110785913.22906205,55.36366898784115,16.251339391266015,2019-09-01
ETC,8740001,119064001.58482797,110817534.72530355,55.44749406341871,16.25597799244284,2019-09-01
ETC,8780001,119244001.58482797,110849165.24723236,55.53131913899628,16.260617917610272,2019-10-01
ETC,8820001,119424001.58482797,110880804.79742475,55.61514421457384,16.265259167146212,2019-10-01
ETC,8860001,119604001.58482797,110912453.37845792,55.6989692901514,16.269901741428725,2019-10-01
ETC,8900001,119784001.58482797,110944110.99290924,55.782794365728975,16.27454564083589,2019-10-01
ETC,8940001,119964001.58482797,110975777.64335705,55.86661944130653,16.279190865745917,2019-10-01
ETC,8980001,120144001.58482797,111007453.33238056,55.950444516884104,16.28383741653716,2019-11-01
ETC,9020001,120324001.58482797,111039138.06256026,56.03426959246166,16.288485293588156,2019-11-01
ETC,9060001,120504001.58482797,111070831.83647564,56.11809466803922,16.293134497277293,2019-11-01
ETC,9100001,120684001.58482797,111102534.65670851,56.20191974361679,16.2977850279833,2019-11-01
ETC,9140001,120864001.58482797,111134246.52584119,56.28574481919435,16.30243688608498,2019-12-01
ETC,9180001,121044001.58482797,111165967.4464562,56.36956989477192,16.307090071961166,2019-12-01
ETC,9220001,121224001.58482797,111197697.42113733,56.45339497034948,16.31174458599088,2019-12-01
ETC,9260001,121404001.58482797,111229436.45246877,56.537220045927036,16.316400428553198,2019-12-01
ETC,9300001,121584001.58482797,111261184.54303561,56.62104512150461,16.321057600027334,2019-12-01
ETC,9340001,121764001.58482797,111292941.6954234,56.70487019708217,16.32571610079256,2020-01-01
ETC,9380001,121944001.58482797,111324707.91221885,56.78869527265974,16.330375931228332,2020-01-01
ETC,9420001,122124001.58482797,111356483.19600914,56.8725203482373,16.335037091714163,2020-01-01
ETC,9460001,122304001.58482797,111388267.54938234,56.95634542381486,16.3396995826297,2020-01-01
ETC,9500001,122484001.58482797,111420060.97492702,57.04017049939243,16.344363404354663,2020-02-01
ETC,9540001,122664001.58482797,111451863.47523269,57.12399557496999,16.34902855726891,2020-02-01
ETC,9580001,122844001.58482797,111483675.05288954,57.207820650547546,16.353695041752403,2020-02-01
