coin,block,original_whitepaper,current_plan,original_whitepaper_pct,current_plan_pct,date
ETH,61910001,531372207.78920275,161941828.1143518,26.224991996824937,23.75547155428433,2045-01-01
ETH,64020001,547028407.7428223,164398179.46097416,26.997677719686912,24.115797142932195,2046-01-01
ETH,66120001,562610407.6527001,166879882.20425966,27.76670142273534,24.479841563146344,2047-01-01
ETH,68220001,578192407.5625778,169399047.9445536,28.535725125783767,24.84938148239329,2048-01-01
ETH,70330001,593848607.4720265,171968511.21651864,29.308410846465762,25.226299616378057,2049-01-01
ETH,72430001,609430607.3819042,174564493.2854496,30.077434549514194,25.607107829499963,2050-01-01
ETH,74530001,625012607.291782,177199663.4758169,30.84645825256262,25.993664602551615,2051-01-01
ETH,76640001,640668807.2012306,179887447.33664855,31.61914397324461,26.38793934795565,2052-01-01
ETH,78740001,656250807.1111084,182602971.1520634,32.38816767629304,26.786283305802773,2053-01-01
ETH,80850001,671907007.020557,185372712.97423047,33.16085339697503,27.1925805783193,2054-01-01
ETH,82950001,687489006.9304348,188171040.61890128,33.92987710002346,27.60307114481831,2055-01-01
ETH,85050001,703071006.8403126,191011610.92960772,34.698900803071886,28.019758346634273,2056-01-01
ETH,87160001,718727206.7497612,193908895.91885415,35.47158652375388,28.444765103369775,2057-01-01
ETH,89260001,734309206.659639,196836083.07216144,36.24061022680231,28.874158250057953,2058-01-01
ETH,91360001,749891206.5695168,199807458.11377925,37.009633929850736,29.31003337941872,2059-01-01
ETH,93470001,765547406.4789654,202838159.47436324,37.78231965053273,29.754611168858307,2060-01-01
ETH,95570001,781129406.3888432,205900139.95651096,38.55134335358116,30.203777336057996,2061-01-01
ETH,97680001,796785606.2982918,209023255.78112617,39.32402907426315,30.661911531504977,2062-01-01
ETH,99780001,812367606.2081696,212178604.51420888,40.09305277731158,31.124774017036906,2063-01-01
ETH,101880001,827949606.1180474,215381585.39037654,40.86207648036,31.594623727755184,2064-01-01
ETH,103990001,843605806.027496,218648516.81550854,41.634762201041994,32.07385443326951,2065-01-01
ETH,106090001,859187805.9373738,221949165.43446708,42.40378590409043,32.55803116074841,2066-01-01
ETH,108200001,874844005.8468224,225315714.63144213,43.176471624772425,33.051874935491824,2067-01-01
ETH,110300001,890426005.7567002,228717009.1527023,43.94549532782085,33.5508155500839,2068-01-01
ETH,112410001,906082205.6661488,232186213.7428255,44.71818104850284,34.05971798694209,2069-01-01
ETH,114510001,921664205.5760266,235691223.1382466,45.48720475155127,34.573872680389364,2070-01-01
ETH,116610001,937246205.4859043,239249143.04312825,46.25622845459969,35.095788889913415,2071-01-01
ETH,118710001,952828205.3957821,242860772.17774835,47.025252157648126,35.6255837809005,2072-01-01
ETH,120820001,968484405.3052307,246544510.9111308,47.79793787833012,36.165956529023916,2073-01-01
ETH,122920001,984066405.2151085,250266268.60380325,48.56696158137855,36.71190633105893,2074-01-01
ETH,125030001,999722605.1245571,254062334.71628693,49.33964730206054,37.26875653834208,2075-01-01
ETH,127130001,1015304605.0344349,257897579.09124625,50.10867100510896,37.831353859330335,2076-01-01
ETH,129240001,1030960804.9438835,261809397.7551951,50.88135672579096,38.405183969061696,2077-01-01
ETH,131340001,1046542804.8537613,265761589.33515736,51.650380428839384,38.984936437883896,2078-01-01
ETH,133440001,1062124804.7636391,269773441.9449313,52.419404131887816,39.57344066598345,2079-01-01
ETH,135540001,1077706804.737218,273845856.2085048,53.1884278380801,40.170828767143256,2080-01-01
ETH,137650001,1093363004.8981981,277999580.08266,53.96111357117602,40.78014428794354,2081-01-01
ETH,139750001,1108945005.0584154,282196173.51687646,54.73013728657954,41.39574840401558,2082-01-01
ETH,141860001,1124601205.2193956,286476555.91653067,55.50282301967545,42.02364363973346,2083-01-01
ETH,143960001,1140183205.379613,290801115.0876614,56.27184673507897,42.65801922738011,2084-01-01
ETH,146070001,1155839405.5405931,295212018.18141246,57.04453246817489,43.3050607248882,2085-01-01
ETH,148170001,1171421405.7008104,299668445.11858386,57.813556183578406,43.958780178178344,2086-01-01
ETH,150270001,1187003405.8610277,304192144.8624934,58.582579898981926,44.62236797286895,2087-01-01
ETH,152370001,1202585406.021245,308784132.9420769,59.35160361438544,45.295973078309224,2088-01-01
ETH,154480001,1218241606.1822252,313467804.4159573,60.124289347481366,45.983027348122775,2089-01-01
ETH,156580001,1233823606.3424425,318199814.9084255,60.89331306288488,46.6771725356714,2090-01-01
ETH,158690001,1249479806.5034227,323026304.4753599,61.66599879598079,47.38517698979797,2091-01-01
ETH,160790001,1265061806.66364,327902607.0512095,62.43502251138432,48.100488583346745,2092-01-01
ETH,162900001,1280718006.8246202,332876269.62972695,63.20770824448023,48.83008205083032,2093-01-01
ETH,165000001,1296300006.9848375,337901264.1535239,63.97673195988375,49.56720547261979,2094-01-01
ETH,167100001,1311882007.1450548,343002114.39991105,64.74575567528727,50.315456275649815,2095-01-01
ETH,169200001,1327464007.305272,348179965.4628051,65.51477939069079,51.07500243533652,2096-01-01
ETH,171310001,1343120207.4662523,353461197.2297238,66.2874651237867,51.84971365399728,2097-01-01
