coin,block,etc,eth,etc_pct,eth_pct,date
ETC,45600001,196312610.8569387,144152270.70188016,91.42177467728743,21.145896684122505,2037-04-01
ETC,45770001,196440956.55982527,144327219.0004749,91.48154461197923,21.171560092885578,2037-05-01
ETC,45950001,196576852.00994048,144512689.80617514,91.5448304251823,21.198767062822036,2037-06-01
ETC,46130001,196712747.46005568,144698398.95513475,91.60811623838538,21.22600899566205,2037-07-01
ETC,46300001,196841093.16294226,144874010.05431068,91.66788617307718,21.251769631562397,2037-08-01
ETC,46480001,196976988.61305746,145060183.52564844,91.73117198628026,21.27907967649658,2037-09-01
ETC,46660001,197112884.06317267,145246596.2432217,91.79445779948333,21.30642481679314,2037-10-01
ETC,46830001,197241229.76605925,145422872.65403232,91.85422773417513,21.332283048180685,2037-11-01
ETC,47010001,197377125.21617445,145609751.45309246,91.9175135473782,21.359696558617514,2037-12-01
ETC,47190001,197513020.66628966,145796870.4047836,91.98079936058127,21.387145297377135,2038-01-01
ETC,47360001,197641366.36917624,145973814.64779577,92.04056929527307,21.41310149399733,2038-02-01
ETC,47520001,197762162.3248342,146140546.57042915,92.0968233514536,21.437559631165644,2038-03-01
ETC,47700001,197898057.7749494,146328347.63183424,92.16010916465666,21.465108429546028,2038-04-01
ETC,47880001,198033953.2250646,146516390.03102142,92.22339497785975,21.492692630100663,2038-05-01
ETC,48050001,198162298.9279512,146694207.50852197,92.28316491255154,21.518776922700077,2038-06-01
ETC,48230001,198298194.3780664,146882720.06385744,92.34645072575462,21.54643009111272,2038-07-01
ETC,48410001,198434089.8281816,147071474.87131768,92.4097365389577,21.574118795825807,2038-08-01
ETC,48580001,198562435.53106818,147249966.0194305,92.4695064736495,21.600301910102445,2038-09-01
ETC,48760001,198698330.98118338,147439192.76422694,92.53279228685257,21.628059843958468,2038-10-01
ETC,48940001,198834226.43129858,147628662.6789337,92.59607810005565,21.65585344874618,2038-11-01
ETC,49110001,198962572.13418517,147807830.04989356,92.65584803474745,21.682135759090897,2038-12-01
ETC,49290001,199098467.58430037,147997773.68989506,92.71913384795052,21.70999885529966,2039-01-01
ETC,49470001,199234363.03441557,148187961.42106742,92.7824196611536,21.73789775758109,2039-02-01
ETC,49630001,199355158.99007353,148357222.35172465,92.83867371733412,21.762726878446887,2039-03-01
ETC,49810001,199491054.44018874,148547872.00015292,92.9019595305372,21.79069354001177,2039-04-01
ETC,49980001,199619400.14307532,148728154.95608407,92.961729465229,21.81713949706445,2039-05-01
ETC,50160001,199731136.09816167,148919281.2794569,93.01376432567257,21.84517608273861,2039-06-01
ETC,50330001,199833812.65844437,149100014.99083748,93.06158027248225,21.871688161733854,2039-07-01
ETC,50510001,199942529.01639077,149291619.18096867,93.11220892204544,21.899794846346115,2039-08-01
ETC,50690001,200051245.37433717,149483469.59619638,93.16283757160862,21.927937650059565,2039-09-01
ETC,50860001,200153921.93461987,149664888.0264899,93.21065351841831,21.954550171422593,2039-10-01
ETC,51040001,200262638.29256627,149857218.11889783,93.26128216798149,21.982763339647438,2039-11-01
ETC,51210001,200365314.85284898,150039090.14362925,93.30909811479118,22.009442399408186,2039-12-01
ETC,51390001,200474031.21079537,150231901.11253977,93.35972676435436,22.03772610807469,2040-01-01
ETC,51570001,200582747.56874177,150424959.8573439,93.41035541391756,22.066046163330967,2040-02-01
