date,BTC,BTS,DASH,DOGE,EOS,ETC,ETH,GAS,IOTA,LTC,NANO,NEO,TRX,XEM,XLM,XMR,XRP,ZEC
2062-01-01,99.9894573542318,99.89792606411793,97.32150314754436,55.87574098689621,100.0,99.15790510567268,30.661911531504973,100.0,100.0,99.9825172195897,100.0,100.0,75.74792743000954,100.0,46.90515535051188,56.84095929045064,99.9872253449157,99.97671677152634
2063-01-01,99.99098497699991,99.9101039902418,97.50459423361116,56.72624713595371,100.0,99.2371831645476,31.124774017036906,100.0,100.0,99.98556897740264,100.0,100.0,76.06632223957345,100.0,47.38562531853363,57.42388742318396,99.9872253449157,99.98285675866104
2064-01-01,99.99251259976799,99.92063913701321,97.67522199782192,57.57675328501122,100.0,99.30226665020076,31.594623727755184,100.0,100.0,99.98820685943248,100.0,100.0,76.37870959990032,100.0,47.861812755276034,58.00681555591729,99.9872253449157,99.98899674579573
2065-01-01,99.9939704535396,99.92993975387188,97.83464097602564,58.427259434068745,100.0,99.36599109723984,32.07385443326951,100.0,100.0,99.98973691882908,100.0,100.0,76.69109696022717,100.0,48.34278549290633,58.59134075202798,99.9872253449157,99.99452006148228
2066-01-01,99.99473426492364,99.93815050554231,97.98279686504624,59.277765583126246,100.0,99.42282967080463,32.55803116074841,100.0,100.0,99.99126279773556,100.0,100.0,77.00348432055402,100.0,48.82859161985117,59.1742688847613,99.9872253449157,99.99759005504964
2067-01-01,99.99549807630768,99.94539910464256,98.12076783170315,60.12827173218377,100.0,99.47380923429273,33.051874935491824,100.0,100.0,99.99278867664205,100.0,100.0,77.31587168088087,100.0,49.319279707787075,59.75719701749463,99.9872253449157,99.99759005504964
2068-01-01,99.99626188769173,99.95179829816654,98.24897881950271,60.97877788124129,100.0,99.52309752547524,33.5508155500839,100.0,100.0,99.99410552741188,100.0,100.0,77.62825904120773,100.0,49.81489881649697,60.340125150227955,99.9872253449157,99.99759005504964
2069-01-01,99.99698802439896,99.95754951016652,98.36881501087215,61.829284030298794,100.0,99.5638811938363,34.05971798694209,100.0,100.0,99.99487055711019,100.0,100.0,77.94665385077163,100.0,50.325174556178744,60.924650346338645,99.9872253449157,99.99759005504964
2070-01-01,99.99736993009095,99.96252489447392,98.48019073872557,62.67979017935631,100.0,99.60447157466957,34.573872680389364,100.0,100.0,99.99563349656343,100.0,100.0,78.25904121109848,100.0,50.83090209938261,61.50757847907198,99.9872253449157,99.99759005504964
2071-01-01,99.997751835783,99.96691725313505,98.58400505695316,63.53029632841383,100.0,99.63883808043892,35.09578888991341,100.0,100.0,99.9963964360167,100.0,100.0,78.57142857142534,100.0,51.341711797794275,62.09050661180532,99.9872253449157,99.99759005504964
2072-01-01,99.99813374147499,99.97079490628022,98.68077091027418,64.38080247747133,100.0,99.6713103734473,35.6255837809005,100.0,100.0,99.99705381627906,100.0,100.0,78.88381593175218,100.0,51.857654722987576,62.67343474453864,99.9872253449157,99.99759005504964
2073-01-01,99.99849541473934,99.97421816814794,98.771207146793,65.23981368801942,100.0,99.7014013610594,36.16595652902392,100.0,100.0,99.9974363311282,100.0,100.0,79.19620329207903,100.0,52.378782459764636,63.25795994064932,99.9872253449157,99.99759005504964
2074-01-01,99.99868636758535,99.97729479095352,98.85525745231688,66.09031983707693,100.0,99.72737920129524,36.711906331058934,100.0,100.0,99.99781780085483,100.0,100.0,79.51459810164295,100.0,52.915321178065454,63.840888073382644,99.9872253449157,99.99759005504964
2075-01-01,99.99887732043136,99.9799563831234,98.93359708990816,66.94082598613446,100.0,99.75340651793353,37.26875653834208,100.0,100.0,99.99819927058144,100.0,100.0,79.8269854619698,100.0,53.44707761235966,64.42381620611599,99.9872253449157,99.99759005504964
2076-01-01,99.99906827327736,99.9823060845128,99.00661377549164,67.79133213519196,100.0,99.7741887726349,37.831353859330335,100.0,100.0,99.99852743815138,100.0,100.0,80.13937282229666,100.0,53.9841777712901,65.00674433884932,99.9872253449157,99.99759005504964
2077-01-01,99.99924841236488,99.98438044311732,99.07484785188456,68.64183828424947,100.0,99.79506999045392,38.405183969061696,100.0,100.0,99.99871869557596,100.0,100.0,80.4517601826235,100.0,54.52667535499302,65.59126953495999,99.9872253449157,99.99759005504964
2078-01-01,99.99934388878788,99.98621172416412,99.13826262843656,69.492344433307,100.0,99.81320004080295,38.984936437883896,100.0,100.0,99.99890943043928,100.0,100.0,80.76414754295034,100.0,55.074624603247926,66.17419766769332,99.9872253449157,99.99759005504964
2079-01-01,99.99943936521092,99.98782841197556,99.19736614604193,70.3428505823645,100.0,99.82982586205135,39.573440665983455,100.0,100.0,99.99910016530258,100.0,100.0,81.0765349032772,100.0,55.62808030090045,66.75712580042665,99.9872253449157,99.99759005504964
2080-01-01,99.99953484163392,99.98928139418442,99.25245046959459,71.19335673142201,100.0,99.84559663489948,40.170828767143256,100.0,100.0,99.99926398780693,100.0,100.0,81.39492971284113,100.0,56.19790299445209,67.34005393315998,99.9872253449157,99.99759005504964
2081-01-01,99.99962456240536,99.99053837182336,99.30392202178028,72.04386288047955,100.0,99.85896061664637,40.78014428794354,100.0,100.0,99.9993596165192,100.0,100.0,81.70731707316797,100.0,56.762646736828316,67.92457912927067,99.9872253449157,99.99759005504964
2082-01-01,99.99967230061684,99.9916480542676,99.35175760099209,72.89436902953705,100.0,99.87226126198686,41.39574840401558,100.0,100.0,99.99945498395087,100.0,100.0,82.01970443349481,100.0,57.33306569976546,68.507507262004,99.9872253449157,99.99759005504964
2083-01-01,99.99972003882836,99.99262770186745,99.39633870303587,73.74487517859455,100.0,99.88326912171995,42.023643639733464,100.0,100.0,99.99955035138252,100.0,100.0,82.33209179382169,100.0,57.909216914667255,69.09043539473733,99.9872253449157,99.99759005504964
2084-01-01,99.99976777703985,99.99349255237031,99.43788578626908,74.59538132765208,100.0,99.89390963216327,42.65801922738011,100.0,100.0,99.99963213199436,100.0,100.0,82.64447915414853,100.0,58.49115798605728,69.67336352747066,99.9872253449157,99.99759005504964
2085-01-01,99.99981246303942,99.99426982822098,99.47670486197693,75.45439253820017,100.0,99.90351649990411,43.3050607248882,100.0,100.0,99.9996799463505,100.0,100.0,82.96287396371244,100.0,59.0903084333185,70.25788872358135,99.9872253449157,99.99759005504964
2086-01-01,99.99983633214515,99.99494225101988,99.51278112338385,76.30489868725769,100.0,99.91202892574609,43.95878017817834,100.0,100.0,99.99972763006632,100.0,100.0,83.27526132403929,100.0,59.684118524881725,70.84081685631467,99.9872253449157,99.99759005504964
2087-01-01,99.99986020125091,99.9955358779484,99.54640121039087,77.15540483631518,100.0,99.92032245676799,44.62236797286896,100.0,100.0,99.99977531378215,100.0,100.0,83.58764868436612,100.0,60.28389593044599,71.423744989048,99.9872253449157,99.99759005504964
2088-01-01,99.9998840703567,99.99605994246679,99.5777316416732,78.00591098537271,100.0,99.92713237995426,45.295973078309224,100.0,100.0,99.99981613876793,100.0,100.0,83.900036044693,100.0,60.889700616719416,72.00667312178133,99.9872253449157,99.99759005504964
2089-01-01,99.99990632616337,99.99652259603977,99.60691253111973,78.85641713443022,100.0,99.93397473134621,45.983027348122775,100.0,100.0,99.999840045946,100.0,100.0,84.21242340501985,100.0,61.50159315302722,72.59119831789202,99.9872253449157,99.99759005504964
2090-01-01,99.99991826071623,99.99693103492659,99.63402479650988,79.70692328348773,100.0,99.93975993509396,46.677172535671396,100.0,100.0,99.9998638878039,100.0,100.0,84.52481076534669,100.0,62.11963471736761,73.17412645062534,99.9872253449157,99.99759005504964
2091-01-01,99.99993019526913,99.99729811534357,99.659296978787,80.55742943254525,100.0,99.94523383377802,47.38517698979796,100.0,100.0,99.99988772966181,100.0,100.0,84.84320557491061,100.0,62.75595323466366,73.75705458335867,99.9872253449157,99.99759005504964
2092-01-01,99.999942129822,99.99761567730205,99.6828534986216,81.40793558160276,100.0,99.9502718905558,48.10048858334674,100.0,100.0,99.9999081094946,100.0,100.0,85.15559293523745,100.0,63.38660010932783,74.339982716092,99.9872253449157,99.99759005504964
2093-01-01,99.9999532141288,99.99789602670474,99.70486995056132,82.25844173066027,100.0,99.95465099778936,48.83008205083031,100.0,100.0,99.99992006308365,100.0,100.0,85.4679802955643,100.0,64.02358447804673,74.92450791220269,99.9872253449157,99.99759005504964
2094-01-01,99.99995918140525,99.9981435241946,99.72533185204622,83.1089478797178,100.0,99.95900935013007,49.56720547261979,100.0,100.0,99.99993198401262,100.0,100.0,85.78036765589117,100.0,64.66697002754029,75.50743604493601,99.9872253449157,99.99759005504964
2095-01-01,99.99996514868168,99.9983620194255,99.74440384402668,83.9594540287753,100.0,99.96249605015404,50.31545627564982,100.0,100.0,99.99994390494156,100.0,100.0,86.092755016218,100.0,65.31682108452883,76.09036417766934,99.9872253449157,99.99759005504964
2096-01-01,99.99997111595812,99.99855491094117,99.76218026702644,84.80996017783279,100.0,99.965982750178,51.07500243533652,100.0,100.0,99.99995407852795,100.0,100.0,86.40514237654486,100.0,65.97320262216445,76.67329231040267,99.9872253449157,99.99759005504964
2097-01-01,99.99997663631324,99.99872827028645,99.77879283385836,85.66046632689033,100.0,99.96905103098995,51.84971365399728,100.0,100.0,99.99996005532243,100.0,100.0,86.72353718610876,100.0,66.64899491657843,77.25781750651336,99.9872253449157,99.99759005504964
2098-01-01,99.99997961995147,99.99887824378176,99.79423221203798,86.51097247594784,100.0,99.97185365024849,52.63617577708593,100.0,100.0,99.99996601578691,100.0,100.0,87.03592454643562,100.0,67.31876373016777,77.84074563924668,99.9872253449157,99.99759005504964
2099-01-01,99.99998260358969,99.99901064307808,99.80862205077707,87.36147862500535,100.0,99.97450485361401,53.430754781855356,100.0,100.0,99.99997197625142,100.0,100.0,87.34831190676249,100.0,67.99526318184425,78.42367377198002,99.9872253449157,99.99759005504964
2100-01-01,99.99998558722791,99.9991275275557,99.82203364372455,88.21198477406288,100.0,99.9767363462926,54.237328499111,100.0,100.0,99.99997705487957,100.0,100.0,87.66069926708933,100.0,68.67856090910928,79.00660190471335,99.9872253449157,99.99759005504964
2101-01-01,99.99998833241915,99.99923071527263,99.834533200626,89.06249092312038,100.0,99.97896783897122,55.05607799722686,100.0,100.0,99.99998003511179,100.0,100.0,87.9730866274162,100.0,69.36872522916676,79.58953003744669,99.9872253449157,99.99759005504964
2102-01-01,99.99998982423828,99.99932181124315,99.84618270165727,89.91299707217789,100.0,99.98082103500532,55.891174605081204,100.0,100.0,99.99998301534404,100.0,100.0,88.28547398774303,100.0,70.06582514575358,80.17245817018002,99.9872253449157,99.99759005504964
